rango_edad,edad_media,robo_vehiculos,robo_motocicletas,robo_armasfuego,robo_peatones,robo_residencias,robo_comercios,robo_buses,year
<15,10,-,1,-,57,-,-,-,2014
15-19,17,44,332,7,240,7,12,1,2014
20-24,22,359,1427,79,308,63,57,3,2014
25-29,27,608,1421,145,226,123,101,4,2014
30-34,32,735,985,269,216,147,120,5,2014
35-39,37,628,650,241,125,154,93,9,2014
40-44,42,559,398,212,103,125,73,5,2014
45-49,47,385,289,150,40,96,59,4,2014
50-54,52,304,185,121,43,87,51,4,2014
55-59,57,204,134,97,27,57,32,3,2014
>60,65,321,110,150,40,125,32,3,2014
