rango_edad,edad_media,robo_vehiculos,robo_motocicletas,robo_armasfuego,robo_peatones,robo_residencias,robo_comercios,robo_buses,year
<15,10,1,1,-,44,-,-,-,2013
15-19,17,69,337,15,334,16,5,3,2013
20-24,22,479,1419,120,379,71,94,10,2013
25-29,27,696,1236,185,267,144,111,15,2013
30-34,32,886,855,330,201,186,129,13,2013
35-39,37,819,555,350,152,176,111,9,2013
40-44,42,632,353,231,87,148,85,14,2013
45-49,47,547,261,181,72,126,60,9,2013
50-54,52,424,161,144,50,103,46,3,2013
55-59,57,283,107,76,33,72,31,3,2013
>60,65,371,95,107,47,126,34,4,2013
