rango_edad,edad_media,robo_vehiculos,robo_motocicletas,robo_armasfuego,robo_peatones,robo_residencias,robo_comercios,robo_buses,year
<15,10,-,1,-,38,-,-,-,2017
15-19,17,10,138,4,224,2,3,-,2017
20-24,22,50,589,39,243,21,36,1,2017
25-29,27,101,549,41,197,30,57,-,2017
30-34,32,92,360,61,118,47,28,3,2017
35-39,37,127,248,57,106,50,31,-,2017
40-44,42,104,140,49,61,39,25,1,2017
45-49,47,65,71,34,41,34,15,1,2017
50-54,52,43,45,27,24,27,13,-,2017
55-59,57,30,28,21,19,17,3,-,2017
>60,65,36,26,22,36,47,9,-,2017
