rango_edad,edad_media,robo_vehiculos,robo_motocicletas,robo_armasfuego,robo_peatones,robo_residencias,robo_comercios,robo_buses,year
<15,10,1,-,-,33,1,-,-,2012
15-19,17,83,277,30,279,16,17,6,2012
20-24,22,624,1212,119,373,102,88,9,2012
25-29,27,883,1042,234,308,152,103,27,2012
30-34,32,1102,782,329,256,183,142,18,2012
35-39,37,936,473,283,154,185,115,3,2012
40-44,42,745,341,228,100,153,87,13,2012
45-49,47,580,238,132,75,117,66,5,2012
50-54,52,488,154,97,62,109,53,7,2012
55-59,57,346,99,78,32,73,28,3,2012
>60,65,442,74,185,46,131,33,1,2012
