rango_edad,edad_media,robo_vehiculos,robo_motocicletas,robo_armasfuego,robo_peatones,robo_residencias,robo_comercios,robo_buses,year
<15,10,-,2,-,35,-,-,-,2016
15-19,17,4,132,5,246,1,10,-,2016
20-24,22,65,689,79,287,52,37,1,2016
25-29,27,124,540,84,200,82,61,3,2016
30-34,32,134,363,75,159,93,53,3,2016
35-39,37,142,240,130,133,107,50,1,2016
40-44,42,130,128,69,73,58,43,1,2016
45-49,47,92,99,45,58,58,22,1,2016
50-54,52,74,69,46,27,53,27,-,2016
55-59,57,43,36,28,21,42,13,2,2016
>60,65,57,34,39,43,83,21,-,2016
