rango_edad,edad_media,robo_vehiculos,robo_motocicletas,robo_armasfuego,robo_peatones,robo_residencias,robo_comercios,robo_buses,year
<15,10,-,2,-,24,-,-,-,2019
15-19,17,6,73,2,153,3,10,2,2019
20-24,22,39,425,19,201,18,26,-,2019
25-29,27,72,367,42,136,45,48,3,2019
30-34,32,82,229,48,118,56,54,3,2019
35-39,37,80,150,40,62,61,48,2,2019
40-44,42,79,95,55,42,45,31,5,2019
45-49,47,47,58,33,38,33,19,2,2019
50-54,52,33,39,16,32,20,14,1,2019
55-59,57,19,21,15,28,22,14,-,2019
>60,65,24,18,30,26,41,13,3,2019
